FileName,Tissue,FileCategory
./Blood/Counts_norm_DESeq2_protein_coding.csv,Blood,Count
./Blood/Deseq2_protein_coding_Blood_LTALVSBlood_LTDR.csv,Blood,LTAL_vs_LTDR
./Blood/Deseq2_protein_coding_Blood_LTALVSBlood_STDR.csv,Blood,LTAL_vs_STDR
./Blood/Deseq2_protein_coding_Blood_YoungVSBlood_LTAL.csv,Blood,Young_vs_LTAL
./Brain/Counts_norm_DESeq2_protein_coding.csv,Brain,Count
./Brain/Deseq2_protein_coding_Brain_LTALVSBrain_LTDR.csv,Brain,LTAL_vs_LTDR
./Brain/Deseq2_protein_coding_Brain_LTALVSBrain_STDR.csv,Brain,LTAL_vs_STDR
./Brain/Deseq2_protein_coding_Brain_YoungVSBrain_LTAL.csv,Brain,Young_vs_LTAL
./Heart/Counts_norm_DESeq2_protein_coding.csv,Heart,Count
./Heart/Deseq2_protein_coding_Heart_LTALVSHeart_LTDR.csv,Heart,LTAL_vs_LTDR
./Heart/Deseq2_protein_coding_Heart_LTALVSHeart_STDR.csv,Heart,LTAL_vs_STDR
./Heart/Deseq2_protein_coding_Heart_YoungVSHeart_LTAL.csv,Heart,Young_vs_LTAL
./Kidney/Counts_norm_DESeq2_protein_coding.csv,Kidney,Count
./Kidney/Deseq2_protein_coding_Kidney_LTALVSKidney_LTDR.csv,Kidney,LTAL_vs_LTDR
./Kidney/Deseq2_protein_coding_Kidney_LTALVSKidney_STDR.csv,Kidney,LTAL_vs_STDR
./Kidney/Deseq2_protein_coding_Kidney_YoungVSKidney_LTAL.csv,Kidney,Young_vs_LTAL
./Liver/Counts_norm_DESeq2_protein_coding.csv,Liver,Count
./Liver/Deseq2_protein_coding_Liver_LTALVSLiver_LTDR.csv,Liver,LTAL_vs_LTDR
./Liver/Deseq2_protein_coding_Liver_LTALVSLiver_STDR.csv,Liver,LTAL_vs_STDR
./Liver/Deseq2_protein_coding_Liver_YoungVSLiver_LTAL.csv,Liver,Young_vs_LTAL
./Lung/Counts_norm_DESeq2_protein_coding.csv,Lung,Count
./Lung/Deseq2_protein_coding_Lung_LTALVSLung_LTDR.csv,Lung,LTAL_vs_LTDR
./Lung/Deseq2_protein_coding_Lung_LTALVSLung_STDR.csv,Lung,LTAL_vs_STDR
./Lung/Deseq2_protein_coding_Lung_YoungVSLung_LTAL.csv,Lung,Young_vs_LTAL
./Muscle/Counts_norm_DESeq2_protein_coding.csv,Muscle,Count
./Muscle/Deseq2_protein_coding_Muscle_LTALVSMuscle_LTDR.csv,Muscle,LTAL_vs_LTDR
./Muscle/Deseq2_protein_coding_Muscle_LTALVSMuscle_STDR.csv,Muscle,LTAL_vs_STDR
./Muscle/Deseq2_protein_coding_Muscle_YoungVSMuscle_LTAL.csv,Muscle,Young_vs_LTAL
./SI/Counts_norm_DESeq2_protein_coding.csv,SI,Count
./SI/Deseq2_protein_coding_SI_LTALVSSI_LTDR.csv,SI,LTAL_vs_LTDR
./SI/Deseq2_protein_coding_SI_YoungVSSI_LTAL.csv,SI,Young_vs_LTAL
./Skin/Counts_norm_DESeq2_protein_coding.csv,Skin,Count
./Skin/Deseq2_protein_coding_Skin_LTALVSSkin_LTDR.csv,Skin,LTAL_vs_LTDR
./Skin/Deseq2_protein_coding_Skin_LTALVSSkin_STDR.csv,Skin,LTAL_vs_STDR
./Skin/Deseq2_protein_coding_Skin_YoungVSSkin_LTAL.csv,Skin,Young_vs_LTAL
./Blood/SampleSheet.csv,Blood,SampleSheet
./Brain/SampleSheet.csv,Brain,SampleSheet
./Heart/SampleSheet.csv,Heart,SampleSheet
./Kidney/SampleSheet.csv,Kidney,SampleSheet
./Liver/SampleSheet.csv,Liver,SampleSheet
./Lung/SampleSheet.csv,Lung,SampleSheet
./Muscle/SampleSheet.csv,Muscle,SampleSheet
./SI/SampleSheet.csv,SI,SampleSheet
./Skin/SampleSheet.csv,Skin,SampleSheet